;1961;Опытный завод НИИТМ Ростовского совнархоза
;1962-1975;Ростовский опытный завод Россельхозтехника
;1976-1982;Ростовский опытный завод(головной)Ростовского производст-венного объединения ремонтных заводов Ростовавторемонт
;1983-1986;Ростовский опытный завод Сельхозтехника
;1986-1992;Опытный завод Ростовский АПК Ростовской области,СПМК Ростовагропромспецмехколонна,НПР «Агропроммаш г.Москва
;1993-1999;АООТ Элта
;2000-2002;ЗАО Элта
75;1943-1954;Ростовская областная контора Главзаготскот Юга
;1955-1958;Ростовская областная контора Заготскототкорм (1959-1961Управления мясной и перерабатывающей промышленности
;1962-1969;Ростовский трест откормочных совхозов и заготовок скота Скотооткорм
;1970-1975;Ростовский трест Скотопром
;1975-1978;Ростовское межхозяйственное специализированное объединение Донмясопром
;1979-1983;Ростовское областное производственное объединение Ростовскотопром 
76;1968-1975;Ростовский трест мясных совхозовОбластного управления сельского хозяйства
;1976-1986;Ростовский трест племенных хозяйств
77;1970-1971;Ростовский строительно-монтажный участок Росводстрой
;1971-1979;Ростовская передвижная механизированная колонна треста Росводстрой с 1973г- треста Ростовводремстрой 
78;1947-1951;Ростовская областная перевалочная база Сельхозснаб
;1951-1960;Ростовская областная база Сельхозснаб УМТСРостовского областного управления сельского хозяйства
;1960-1961;Ростовская областная завозная база Главторгмаш
;1961-1977;Ростовская областная завозная база Сельхозтехника
79;1960-1961;Ростовский городской магазин Управления Главторгмаш
;1961-1975;Ростовский городской магазин № 1 Ростовского областного объединения Сельхозтехника
;1975-1978;Ростовское межрайонное объединение Ростовского областного объединения Сельхозтехника
;1978-1986;Ростовское межрайонное производственное объединение по производственно-техническому обеспечению сельского хозяйства Ростовского областного производственного объединения по производственно-техническому обеспечению сельского хозяйства
;1986-1993;База  материально-технического снабжения Донагропромснаб АПК Ростовской области
;1993-1996;Акционерное общество Донагропромснаб
;1996-1999;Открытое акционерное общество Донагропромснаб
80;1954-1959;Ростовская-на-Дону резервная база Росглававтотрактороснабсбыта
81;1971-1981;Производственно-транспортное управление  Транссельхозтехника
82;1964-1966;Ростовское специализированное монтажное управление Сельхозтехника
;1967-1976;Ростовский трест Ростовсельхозмонтаж
;1976-1986;Ростовское производственное объединение по механизации животноводческих ферм и комплектованию сельскохозяйст-венных строек Ростовсельхозмонтажкомплект
;1986-1993;Производственное объединение по механизации животноводческих ферм Ростовагропроммехмонтаж
;1993-1996;АООТ Ростовсельхозмонтаж
;1996-2008;ОАО Ростовсельхозмонтаж
83;1964-1965;Ростовская областная ветеринарно-санитарная станция
;1966-1972;Областная станция по борьбе с болезнями животных
84;1968-1971;Ростовский специализированный монтажный участоктреста Ростовсельхозмонтаж
85;1943-1944;Комбинат подсобных предприятий Ростовского городского треста столовых и ресторанов
;1945-1949;Подсобное хозяйство Ростовского городского треста столовых и ресторанов
;1950-1957;Подсобное хозяйство № 2 Ростовского городского треста столовых и ресторанов
86;1968;Красносулинский специализированный монтажный участок Сельхозтехника
87;;Константиновский специализированный монтажный участок № 9 Сельхозтехника
88;1965-1968;Октябрьский специализированный монтажный участок № 3 Сельхозтехника
89;1965-1968;Неклинский специализированный монтажный участок № 3  Сельхозтехника
90;1952-1959;Завозная база Глававтотракторосбыт
91;1968-1971;Ростовский электромонтажный хозрасчетный участок управления Ростовремстроймонтаж
;1971-1973;Ростовский электромонтажный хозрасчетный участокСоюзремсельстрой
;1973-1974;Ростовский прорабский участок Кисловодской ПМК-1 Союзремсельстроя
;1974;Ростовский прорабский участок Кисловодской ПМК-1 Ставропольсельстроя   
92;1964-1965;Управление капитального строительства при Ростовском областном управлении производства и заготовок сельскохозяйственных продуктов
;1965-1972;Управление капитального строительства при Ростовском областном управлении сельского хозяйства
;1972-янв1976;Управление капитального строительства в совхозах Областного производственного объединения совхозов
93;1969-1980;Завод Элеватормонтаждетальтреста Нечерноземэлеватормельмонтаж
94;1968-1972;Управление механизации Ростсельстроя
95;1950-1952;Егорлыкский строительный участок Совхозстрой
96;1943-1948;Ростовский-на-Дону завод шлакоблоков Ростовского областного треста Ростовстрой
97;1939-1946;Ростовская межобластная строительно-монтажная и мелиоративная контора Совхозстрой
;1947-1950;Ростовская межобластная строительная  контора Совхозстрой
;1952-1954;Южный строительный трест
98;1953;Завод Сельстройдеталь треста Ростовстройдеталь
;1953-1955;Завод Стройдеталь треста Ростовстрой
;1955-янв 1956;Комбинат производственных предприятий треста Ростовстрой
99;1945-1947;Кабардинский строительный участок Совхозстроя
100;1951-1952;Морозовский строительный участок Союзсовхозстроя 
101;1943-1950;Сталинская областная строительная контора Совхозстрой
;1950-1952;Сталинский строительный трест Союзсовхозстрой
102;1945-1946;Трест Облсельстрой Управления сельского строительства при СНК
;1947-1951;Трест Ростоблсельстрой
;1951-1953;Трест Ростовсельстрой
103;1976-1986;Объединенная дирекция по строительству животноводческих комплексов и других сверхлимитированных объектов Производственного управления сельского хозяйства
104;1946-1948;Ростовский строительный участок № 1 Совхозстроя
105;1953-1954;Контора материально-технического снабжения Ростовского стройтреста
106;1948-1952;Контора снабжения и транспорта Ростовгорстрой
107;1954-1957;Областной строительный трест Каменкстрой
108;1943-1946;Ростовский областной Ростовстрой Областного отдела коммунального хозяйства Ростоблисполкома
;1946-1953;Ростовский областной строительно-монтажный трест Ростовстрой Главного управления гражданского строительства Наркомата гражданского строительства РСФСР
;1953-1963  ;Трест РостовстройМинистерства городского и сельского строительства
;1963-1966;Трест Ростовсовхозстрой Главсевкавстроя
;1966-1967;Трест Ростовсовхозстрой Министерства сельского строительства РСФСР
;1968-1986;Ростовское областное производственное управление сельского строительства Ростсельстрой
109;1943-1944;Кузнецкая лесозаготовительная контора Ростоблжилснаба
;1944-1945;Кузнецкая лесозаготовительная контора Ростовгражданстроя
;1945-1949;Кузнецкий леспромхоз Ростовгражданстроя, Ростсельстроя
110;1943-1944;Ростовская областная контора снабжения и транспорта треста Ростоблстрой
;1944-1945;Ростовская областная контора снабжения и транспорта треста Ростовгражданстрой
;1945-1951;Контора снабжения и транспорта треста Ростовстрой, Транспортная контора треста Ростовстрой
;1955-1963;Контора снабжения треста Ростовстрой
;1963-1967;Контора снабжения треста Ростовсовхозстроя 
;1967;Контора снабжения управления Ростсельстрой
;1968-1973;Управление производственно-технической комплектации Ростельстроя  
111;1946-1947;Строительно монтажная контора Областного земельного отдела
;1947-1950;Ростовская строительно-монтажная контора треста Союзсельстроя
;1950-1953;Ростовская строительно-монтажная контора Областного управления сельского хозяйства
;1953-1954;Строительно-монтажный трест РостсельхозстроймонтажОбластного управления сельского хозяйства
112;1947-1949;Отдел рабочего снабжения треста Ростовстрой
113;1944-1948;Общестроительное управление  № 2 треста Ростовстрой
114;1944-1946;Строительное управление 1 Ростовгражданстроя, Ростовстроя
115;1945-1948;Батайская транспортная контора Ростовоблсельстроя
116;1946-1951;Ростовский строительный участок ГУШОСДОРа МВД СССР
;1951-1954;Отдельный строительный район № 8 ГУШОСДОРаМВД СССР
;1954-1957;Строительно монтажное управление  треста Автотрансстрой № 3
;1957-1959;Строительно монтажное управление  треста Ростоблавтодорстрой
;1959-1962;Ростовское строительно-монтажное управление  треста Ростовстрой
117;1949-1957;Ростовская областная лесозаготовительная контора Областного управления сельского и колхозного строительства
;1957-1960;Ростовская областная контора по заготовке леса и других стройматериалов Областного управления сельского хозяйства
;1960-1961;Ростовская областная лесозаготовительная контораОблмежколхозстроя 
118;1950-1952;Добряно-Щучье-Озерский леспромхоз
119;1968-1978;Батайский завод по производству строительных материалов треста Ростоблколхозстроя
120;1952-1955;Железнодорожный леспромхоз
;1956-1962;Каменский леспромхоз Ростовской лесозаготовительной конторы
121;1950-1964;Астраханский леспромхоз Ростовской лесозаготовительной конторы Ростовского областного управления по делам сельского и колхозного строительства
122;1951-1956;Цимлянский леспромхоз Ростовской лесозаготовительной конторы
123;1956-1957;Волгодонская лесоперевалочная базаРостовской лесозаготовительной конторы
124;1966-1969;Самарский кирпичный завод Ростовского треста по производству и заготовке строительных материалов Облмежколхозстроя
125;1950-1955;Верхне-Городковский леспромхоз Куйбышевской лесозаготовительной конторы Главколхозстроя
;1955;Верхне-Городковский леспромхоз Ростовской лесозаготовительной конторы Главколхозстроя
;1955-1960;Ростовский леспромхоз Ростовской лесозаготовительной конторы Главколхозстроя
;1960-1965;Ростовский леспромхоз Облмежколхозстроя
126;1945-1958;Областное управление по делам сельского и колхозного строительства
127;1970-1971;Хозрасчетный участок механизации (спемонтажное, сантех-ническое, электромонтажное, белокалитвенское прорабства)треста Спецстроймонтаж Ростоблколхозстроя
128;1969-1970;Передвижная механизированная колонна Стройтреста № 3Ростоблколхозстроя
129;1969-1970;Контора материально-технического снабжения Стройтреста № 3 Ростоблколхозстроя
130;1966-1968;Спецмонтажное управление Ростоблколхозстроя
131;1966-1967;Центральные ремонтные мастерские треста Ростовсельхозводстрой
;1967-1968;Ростовский строительно-монтажный участок треста Ростовсельхозводстрой
;1968-1969;Ростовское строительно-монтажное управление треста Ростовсельхозводстрой 
;1969;Ростовская передвижная механизированная колонна треста Ростовсельхозводстрой
;1970;Ростовская передвижная механизированная колонна треста Промжилводстроя
132;1967-1970;Стройтрест № 3 Ростоблколхозстроя Белая Калитва
133;1968-1969;Строительно-монтажное управление ЛесхозпромстройРостоблколхозстроя
134;1964-1970;Контора материально-технического снабжения Ростоблколхозстроя
;1970-1985;Управление материально-технического снабжения Ростоблколхозстроя
;1985-1986;Управление материально-технологической комплектации Ростоблколхозстроя
;1986-1987;Управление материально-технологической комплектацииРостовагропромстроя
;1988-1990;Ростовский специализированный межхозяйственный трест Агростройкомплект Ростовагропромстроя
135;1966-1973;Учебный комбинат Ростоблколхозстроя 
136;1943-1944;Ростовская областная мелиоративная строительная контора Облмелиоводстрой Областного управления мелиорации и водного хозяйства
;1944-1953;Ростовская областная мелиоративно строительная контора Водстрой Областного управления мелиорации и водного хозяйства
137;1947-1951;Ростовская межобластная контора мелиорации и водного хозяйства
;1951-1953;Ростовский трест Ростовсовхозводстрой
;1954-1964;Ростовский специализированный трест Ростовсовхозводстрой
;1964-1983;Ростовский специализированный трест Ростовсельхозводстрой
138;1950;Проектно-изыскательская контора Ростовской областной строительно-мелиоративной конторы Водстрой
;1951;Проектно-изыскательское бюро Ростовской строительно-мелиоративной конторы Водстрой
139;1967-1982;Управление лесозаготовок Ростоблколхозстроя
